iter	Passed	Remaining
704	2318	970
705	2321	966
706	2323	963
707	2327	959
708	2329	956
709	2333	952
710	2338	950
711	2343	947
712	2346	944
713	2353	942
714	2356	939
715	2359	935
716	2361	932
717	2366	929
718	2369	926
719	2372	922
720	2374	918
721	2376	914
722	2382	912
723	2387	910
724	2392	907
725	2399	905
726	2402	902
727	2404	898
728	2407	894
729	2413	892
730	2416	889
731	2420	886
732	2422	882
733	2424	878
734	2428	875
735	2430	871
736	2432	868
737	2435	864
738	2437	860
739	2441	857
740	2444	854
741	2446	850
742	2448	847
743	2451	843
744	2453	839
745	2457	836
746	2460	833
747	2464	830
748	2466	826
749	2468	822
750	2474	820
751	2476	816
752	2477	812
753	2480	809
754	2483	805
755	2485	802
756	2489	799
757	2491	795
758	2493	791
759	2495	788
760	2497	784
761	2499	780
762	2501	776
763	2504	773
764	2506	769
765	2507	766
766	2509	762
767	2511	758
768	2512	754
769	2514	750
770	2516	747
771	2519	743
772	2520	740
773	2522	736
774	2524	732
775	2525	729
776	2527	725
777	2529	721
778	2533	718
779	2537	715
780	2540	712
781	2542	708
782	2544	705
783	2548	702
784	2550	698
785	2552	694
786	2554	691
787	2556	687
788	2558	684
789	2562	681
790	2565	677
791	2567	674
792	2569	670
793	2571	667
794	2573	663
795	2577	660
796	2580	657
797	2583	653
798	2586	650
799	2589	647
800	2594	644
801	2597	641
802	2599	637
803	2601	634
804	2603	630
805	2608	627
806	2611	624
807	2614	621
808	2616	617
809	2618	614
810	2622	611
811	2625	607
812	2627	604
813	2629	600
814	2632	597
815	2633	593
816	2637	590
817	2639	587
818	2640	583
819	2642	580
820	2644	576
821	2646	573
822	2648	569
823	2651	566
824	2655	563
825	2657	559
826	2658	556
827	2661	552
828	2663	549
829	2666	546
830	2669	542
831	2671	539
832	2673	535
833	2675	532
834	2677	529
835	2683	526
836	2686	523
837	2688	519
838	2690	516
839	2691	512
840	2693	509
841	2698	506
842	2700	502
843	2701	499
844	2703	495
845	2705	492
846	2707	489
847	2710	485
848	2712	482
849	2714	479
850	2716	475
851	2718	472
852	2719	468
853	2721	465
854	2723	461
855	2727	458
856	2729	455
857	2730	451
858	2732	448
859	2734	445
860	2735	441
861	2737	438
862	2739	434
863	2741	431
864	2743	428
865	2745	424
866	2747	421
867	2749	418
868	2751	414
869	2756	411
870	2758	408
871	2760	405
872	2763	401
873	2765	398
874	2767	395
875	2771	392
876	2773	388
877	2776	385
878	2778	382
879	2779	379
880	2781	375
881	2783	372
882	2788	369
883	2790	366
884	2791	362
885	2793	359
886	2795	356
887	2797	352
888	2799	349
889	2801	346
890	2803	343
891	2809	340
892	2811	336
893	2813	333
894	2816	330
895	2818	327
896	2822	324
897	2826	321
898	2828	317
899	2831	314
900	2833	311
901	2838	308
902	2840	305
903	2842	301
904	2844	298
905	2847	295
906	2850	292
907	2854	289
908	2856	285
909	2858	282
